Gene ID	Gene Name	g3_g1.p-value	g3_g1.log2foldchange	g3_g2.p-value	g3_g2.log2foldchange
ENSG00000000003	TSPAN6	0.651374431722803	0.2	0.790825089991803	-0.1
ENSG00000000005	TNMD	NA	0	NA	0
ENSG00000000419	DPM1	0.940325796860601	0.1	0.640494815196084	-0.1
ENSG00000000457	SCYL3	0.980874331350569	0	0.621322431589428	0.1
ENSG00000000460	C1orf112	0.989219550215553	0	0.978833752826533	0
ENSG00000000938	FGR	0.991310397973616	0	0.922095701112317	0
ENSG00000000971	CFH	0.954378449260316	0.1	0.882274453300503	-0.1
ENSG00000001036	FUCA2	0.970254146198404	0	0.501394609685579	0.2
ENSG00000001084	GCLC	0.99771093802587	0	0.900672454684551	0
ENSG00000001167	NFYA	0.736923043380878	0.1	0.674900703501409	-0.1
ENSG00000001460	STPG1	0.811124860439955	-0.1	0.564242334784289	-0.1
ENSG00000001461	NIPAL3	0.944315045329249	0	0.488510249016113	0.1
ENSG00000001497	LAS1L	0.854745064659541	0.1	0.681448096502157	0.1
ENSG00000001561	ENPP4	0.768067747275746	0.1	0.885380371065159	0.1
ENSG00000001617	SEMA3F	NA	0	NA	0
ENSG00000001626	CFTR	NA	0.1	NA	0.2
ENSG00000001629	ANKIB1	0.970254146198404	0	0.76864432838954	0.1
ENSG00000001630	CYP51A1	0.948896150124827	-0.1	0.193277586374087	-0.3
ENSG00000001631	KRIT1	0.550371651278095	-0.2	0.67191621887696	-0.1
ENSG00000002016	RAD52	0.549036503938679	0.2	0.315197291846738	0.3
ENSG00000002079	MYH16	NA	0	NA	0
ENSG00000002330	BAD	0.673352381432604	0.1	0.22340743989147	0.2
ENSG00000002549	LAP3	0.787076723064207	-0.1	0.749180232038261	-0.1
ENSG00000002586	CD99	0.966009425036822	0	0.898963268252637	0
ENSG00000002587	HS3ST1	NA	0	NA	0
ENSG00000002726	AOC1	NA	0.1	NA	-0.1
ENSG00000002745	WNT16	NA	0.1	NA	0.1
ENSG00000002746	HECW1	0.937748856873665	-0.1	0.724016008588438	-0.1
ENSG00000002822	MAD1L1	0.863989846205312	0.1	0.816348901252886	0.1
ENSG00000002834	LASP1	0.83537779089109	0.1	0.31200090261287	0.2
ENSG00000002919	SNX11	0.849108911494255	0.1	0.733748903953051	0.1
ENSG00000002933	TMEM176A	NA	0.1	NA	-0.1
ENSG00000003056	M6PR	0.794754330175044	0.1	0.019987333522915	0.3
ENSG00000003096	KLHL13	NA	-0.1	NA	0
ENSG00000003137	CYP26B1	NA	0	NA	0
ENSG00000003147	ICA1	0.901727546195658	-0.1	0.862736453584404	-0.1
ENSG00000003249	DBNDD1	0.0910783834435033	0.5	0.0628070243541303	0.5
ENSG00000003393	ALS2	0.977345908207503	0	0.897844451378051	0
ENSG00000003400	CASP10	0.370659235554222	0.3	0.194648930919555	0.3
ENSG00000003402	CFLAR	0.482262089980839	0.1	0.265532948618297	0.1
ENSG00000003436	TFPI	0.850416448624364	0.1	0.903734978624211	0
ENSG00000003509	NDUFAF7	0.999719028200447	0	0.421704630248485	-0.1
ENSG00000003756	RBM5	0.665587445184201	0.1	0.870717006025463	0
ENSG00000003987	MTMR7	0.998391750224756	0	0.961074704197722	0
ENSG00000003989	SLC7A2	NA	0	NA	0
ENSG00000004059	ARF5	0.649832520762644	-0.1	0.573825441339324	-0.1
ENSG00000004139	SARM1	0.789429573048306	0.1	0.732857723579662	0.1
ENSG00000004142	POLDIP2	0.860275144121318	-0.1	0.955703050903071	0
ENSG00000004399	PLXND1	0.275208590261988	-0.4	0.198906624456012	-0.3
ENSG00000004455	AK2	0.991310397973616	0	0.22171125074697	0.2
ENSG00000004468	CD38	0.295233938149748	-0.4	0.498437473723781	-0.2
ENSG00000004478	FKBP4	0.813265732567625	0.1	0.0980257324449566	0.3
ENSG00000004487	KDM1A	0.813265732567625	-0.1	0.67369649466914	-0.1
ENSG00000004534	RBM6	0.825422844800674	0.1	0.767894666679785	0.1
ENSG00000004660	CAMKK1	0.715556063490401	0.2	0.468409795926647	0.2
ENSG00000004700	RECQL	0.990367681585594	0	0.85902762072698	0.1
ENSG00000004766	VPS50	0.83804390750444	0.1	0.708774616398941	0.1
ENSG00000004776	HSPB6	NA	0	NA	0
ENSG00000004777	ARHGAP33	0.753456526318939	0.2	0.459694162169519	0.2
ENSG00000004779	NDUFAB1	0.952048488319115	0	0.917490987568927	0
ENSG00000004799	PDK4	NA	0	NA	0.2
ENSG00000004809	SLC22A16	NA	0	NA	0
ENSG00000004838	ZMYND10	NA	0.3	NA	0.2
ENSG00000004846	ABCB5	NA	-0.1	NA	-0.2
ENSG00000004848	ARX	NA	0	NA	0
ENSG00000004864	SLC25A13	0.955260546109097	0	0.980706023197837	0
ENSG00000004866	ST7	0.929210269126694	-0.1	0.488624965052675	-0.2
ENSG00000004897	CDC27	0.725849160272941	0.1	0.836734122419888	0
ENSG00000004939	SLC4A1	NA	-0.1	0.64386402830434	-0.2
ENSG00000004948	CALCR	NA	0	NA	0
ENSG00000004961	HCCS	0.961644070150459	0	0.686831876885489	-0.1
ENSG00000004975	DVL2	0.183096670179345	0.3	0.560197556997307	0.1
ENSG00000005001	PRSS22	NA	0	NA	0
ENSG00000005007	UPF1	0.970549348985534	0	0.617169093834232	-0.2
ENSG00000005020	SKAP2	0.998556167851819	0	0.73864531516579	0.1
ENSG00000005022	SLC25A5	0.832541899536345	-0.1	0.614226600289897	-0.1
ENSG00000005059	MCUB	0.94788738632474	0	0.847334297195278	0
ENSG00000005073	HOXA11	NA	0	NA	0
ENSG00000005075	POLR2J	0.888410401649667	0.1	0.697829298765772	0.1
ENSG00000005100	DHX33	0.911941508666778	0.1	0.771867033180071	0.1
ENSG00000005102	MEOX1	0.876047582986011	0.1	0.416754248947855	0.2
ENSG00000005108	THSD7A	NA	0	NA	0
ENSG00000005156	LIG3	0.627178734329059	0.2	0.315527732374974	0.2
ENSG00000005175	RPAP3	0.859142283430172	0.1	0.488510249016113	0.2
ENSG00000005187	ACSM3	0.714851021688376	0.2	0.899992970221919	0
ENSG00000005189	REXO5	NA	-0.1	NA	0
ENSG00000005194	CIAPIN1	0.732935057362672	0.1	0.360258551592296	0.2
